列1,募集日,地区名,路線名,駅名,所要時間,取引価格,間取り,竣工日,敷地面積,延べ面積,建蔽率,容積率,経度,緯度,築年数,補正築年数,補正所要時間,縦横比,間取り指数
15,2019/4/1,新逆井1丁目,新京成電鉄,五香,5,3800000,4DK,197112,83.74,58.44,50,100,139.97218,35.81209,47.36438356,52.10082192,4.901521433,2,5
16,2019/4/1,西原5丁目,東武野田線,初石,15,29800000,3LDK,201809,104.03,94.38,60,150,139.91978,35.89122,0.580821918,0.580821918,15.14300756,2.5,4.5
17,2019/4/1,塚崎,ＪＲ常磐線,柏,7,22900000,4LDK,201904,200.07,103.51,60,150,139.99606,35.83493,0,0,3.558069089,2.5,5.5
18,2019/4/1,南逆井1丁目,新京成電鉄,五香,22,12300000,4LDK,198907,101.17,86.34,60,100,139.97037,35.80757,29.76986301,31.25835616,21.5666943,1.666666667,5.5
19,2019/4/1,逆井,東武野田線,逆井,10,13500000,3DK,197904,159,65.98,30,50,139.98247,35.81544,40.02739726,42.02876712,10.21127899,1.666666667,4
20,2019/4/1,今谷上町,ＪＲ常磐線,南柏,4,39900000,4LDK,201905,91.9,86.25,50,100,139.95641,35.84102,0.082191781,0.082191781,3.602771449,2,5.5
21,2019/4/1,中原1丁目,東武野田線,増尾,22,23800000,4LDK,201905,120.27,97.29,80,200,139.96596,35.82673,0.082191781,0.082191781,22.52568384,2.5,5.5
22,2019/4/1,中原1丁目,東武野田線,増尾,22,24500000,4LDK,201905,103.5,96.88,80,200,139.96596,35.82673,0.082191781,0.082191781,22.52568384,2.5,5.5
23,2019/4/1,南逆井6丁目,新京成電鉄,五香,18,26800000,4LDK,201905,137.03,96.88,50,100,139.97791,35.80551,0.082191781,0.082191781,17.64547716,2,5.5
24,2019/4/1,南逆井4丁目,新京成電鉄,五香,12,11700000,3LDK,199206,100.62,84.45,50,100,139.97462,35.80325,26.84931507,28.19178082,11.76365144,2,4.5
25,2019/4/1,つくしが丘3丁目,東武野田線,新柏,4,15800000,3DK,197906,84.83,84.83,60,200,139.96564,35.83506,39.86027397,41.85328767,4.021325321,3.333333333,4
26,2019/4/1,新逆井2丁目,新京成電鉄,五香,1,19990000,4LDK,201211,109.54,104.33,50,100,139.97063,35.80952,6.416438356,6.416438356,0.980304287,2,5.5
27,2019/4/1,布施新町1丁目,ＪＲ常磐線,我孫子,4,13800000,4LDK,197503,205.58,121.9,50,100,140.00124,35.89001,44.11506849,48.52657534,3.629453682,2,5.5
28,2019/4/1,富里3丁目,ＪＲ常磐線,柏,15,39900000,4LDK,201409,132.31,105.98,60,200,139.96289,35.8544,4.583561644,4.583561644,7.624433763,3.333333333,5.5
29,2019/4/1,増尾台2丁目,東武野田線,増尾,10,24800000,3LDK,201810,112.47,99.78,50,100,139.9711,35.82467,0.498630137,0.498630137,10.2389472,2,4.5
30,2019/4/1,高柳,東武野田線,高柳,8,38900000,5LDK,201205,312.25,134.6,50,100,139.99794,35.8078,6.920547945,6.920547945,8.175130773,2,6.5
31,2019/4/1,南増尾4丁目,ＪＲ常磐線,南柏,3,24900000,4LDK,200705,135.45,114.26,50,100,139.96603,35.81324,11.9260274,12.52232877,2.702078587,2,5.5
32,2019/4/1,しいの木台3丁目,新京成電鉄,元山,20,24600000,4LDK,201308,153.55,104.33,50,100,139.98018,35.80103,5.668493151,5.668493151,20.20565378,2,5.5
33,2019/4/1,南逆井3丁目,新京成電鉄,五香,13,12880000,4LDK,198801,124.95,102.95,60,200,139.97,35.8028,31.26849315,32.83191781,12.74395573,3.333333333,5.5
34,2019/4/1,新逆井1丁目,ＪＲ常磐線,南柏,5,24500000,3LDK,200904,148.8,114.27,50,100,139.97218,35.81209,10.00547945,10.00547945,4.503464311,2,4.5
35,2019/4/1,南逆井7丁目,新京成電鉄,五香,29,14500000,5LDK,198807,142.22,142.22,50,100,139.98103,35.80743,30.76986301,32.30835616,28.42882431,2,6.5
36,2019/4/1,豊四季,ＪＲ常磐線,南柏,13,29800000,3DK,198606,181.35,175.5,60,200,139.94981,35.85993,32.85479452,34.49753425,11.70900721,3.333333333,4
37,2019/4/1,南増尾3丁目,東武野田線,逆井,23,3200000,4DK,198205,53.2,57.28,50,100,139.97052,35.8146,36.94246575,38.78958904,23.48594167,2,5
38,2019/4/1,南増尾3丁目,東武野田線,逆井,24,8600000,4LDK,199102,96.18,88.4,50,100,139.97052,35.8146,28.18082192,29.58986301,24.50706957,2,5.5
39,2019/4/1,常盤台,東武野田線,新柏,13,7500000,4DK,197101,55.27,68.62,50,100,139.96707,35.84692,48.27945205,53.10739726,13.06930729,2,5
40,2019/4/1,花野井,つくばエクスプレス,柏の葉キャンパス,12,32800000,3LDK,201811,106.27,101.65,60,200,139.97424,35.89674,0.41369863,0.41369863,11.67825843,3.333333333,4.5
41,2019/4/1,南逆井3丁目,新京成電鉄,五香,11,21900000,4LDK,201812,103.24,97.7,60,200,139.97,35.8028,0.331506849,0.331506849,10.78334715,3.333333333,5.5
42,2019/4/1,塚崎1丁目,東武野田線,逆井,25,13800000,5LDK,198702,117.83,109.34,60,150,140.00583,35.83471,32.18356164,33.79273973,25.52819747,2.5,6.5
43,2019/4/1,中原1丁目,東武野田線,増尾,21,11600000,3LDK,199703,86,68.35,50,100,139.96596,35.82673,22.09863014,23.20356164,21.50178912,2,4.5
44,2019/4/1,しいの木台4丁目,新京成電鉄,五香,15,12800000,3LDK,199610,100.12,81.55,50,100,139.97781,35.80201,22.51232877,23.63794521,14.7045643,2,4.5
45,2019/4/1,柏1丁目,ＪＲ常磐線,柏,22,21800000,3LDK,200705,122.29,96.26,50,100,139.97142,35.86181,11.9260274,12.52232877,11.18250285,2,4.5
46,2019/4/1,増尾3丁目,東武野田線,増尾,11,19800000,4LDK,201512,95.38,89.84,50,100,139.97955,35.83572,3.334246575,3.334246575,11.26284192,2,5.5
47,2019/4/1,南逆井6丁目,新京成電鉄,五香,20,9800000,5DK,196807,119.03,66.09,50,100,139.97791,35.80551,50.78356164,55.86191781,19.60608573,2,6
48,2019/4/1,亀甲台町1丁目,ＪＲ常磐線,柏,25,20000000,3LDK,201903,103.95,90.88,50,100,139.98053,35.84829,0.084931507,0.084931507,12.7073896,2,4.5
49,2019/4/1,船戸1丁目,つくばエクスプレス,柏たなか,14,29800000,4LDK,201810,157.23,103.5,60,200,139.94977,35.91423,0.498630137,0.498630137,14.47239022,3.333333333,5.5
50,2019/4/1,船戸1丁目,つくばエクスプレス,柏たなか,14,32800000,4LDK,201810,180,105.99,60,200,139.94977,35.91423,0.498630137,0.498630137,14.47239022,3.333333333,5.5
51,2019/4/1,船戸1丁目,つくばエクスプレス,柏たなか,9,34800000,4LDK,201809,155.06,106.81,60,200,139.94977,35.91423,0.580821918,0.580821918,9.303679427,3.333333333,5.5
52,2019/4/1,小青田3丁目,つくばエクスプレス,柏たなか,7,35800000,4LDK,201809,156.74,105.15,60,200,139.95557,35.91412,0.580821918,0.580821918,7.23619511,3.333333333,5.5
53,2019/4/1,小青田3丁目,つくばエクスプレス,柏たなか,7,34800000,4LDK,201809,142.58,103.5,60,200,139.95557,35.91412,0.580821918,0.580821918,7.23619511,3.333333333,5.5
54,2019/4/1,小青田3丁目,つくばエクスプレス,柏たなか,7,33800000,4LDK,201809,139.45,99.16,60,200,139.95557,35.91412,0.580821918,0.580821918,7.23619511,3.333333333,5.5
55,2019/4/1,小青田3丁目,つくばエクスプレス,柏たなか,7,34800000,4LDK,201809,151.42,105.99,60,200,139.95557,35.91412,0.580821918,0.580821918,7.23619511,3.333333333,5.5
56,2019/4/1,南逆井3丁目,新京成電鉄,五香,11,21900000,4LDK,201812,103.22,97.4,60,200,139.97,35.8028,0.331506849,0.331506849,10.78334715,3.333333333,5.5
57,2019/4/1,柏の葉5丁目,つくばエクスプレス,柏の葉キャンパス,4,22800000,4LDK,201808,162.77,99.36,60,200,139.93605,35.902,0.665753425,0.665753425,3.892752811,3.333333333,5.5
58,2019/4/1,高柳,東武野田線,高柳,9,22800000,4LDK,201905,130.09,101.25,50,100,139.99794,35.8078,0.082191781,0.082191781,9.197022119,2,5.5
59,2019/4/1,旭町8丁目,ＪＲ常磐線,柏,21,27800000,4LDK,201906,169.59,98.41,60,160,139.9547,35.86029,0.167123288,0.167123288,10.67420727,2.666666667,5.5
60,2019/4/1,弥生町,ＪＲ常磐線,柏,22,28400000,4LDK,201907,103.94,98.82,50,100,139.98589,35.85515,0.249315068,0.249315068,11.18250285,2,5.5
61,2019/4/1,みどり台3丁目,東武野田線,江戸川台,13,26800000,4LDK,201903,110.64,98.01,70,150,139.92288,35.90138,0.084931507,0.084931507,12.93142391,2.142857143,5.5
62,2019/4/1,加賀3丁目,東武野田線,増尾,5,29800000,5LDK,198706,595.16,161.27,60,150,139.97319,35.83008,31.85479452,33.44753425,5.119473599,2.5,6.5
63,2019/4/1,旭町6丁目,ＪＲ常磐線,柏,19,40800000,4LDK,201606,136.2,107.83,60,200,139.95827,35.85704,2.832876712,2.832876712,9.657616099,3.333333333,5.5
64,2019/4/1,宿連寺,ＪＲ常磐線,北柏,25,9800000,5DK,199203,106,106.58,60,200,139.98523,35.8875,27.10136986,28.45643836,23.98058349,3.333333333,6
65,2019/4/1,東台本町,ＪＲ常磐線,柏,17,18000000,5LDK,199807,118.01,97.5,50,100,139.98375,35.85864,20.76438356,21.80260274,8.641024931,2,6.5
66,2019/4/1,南逆井2丁目,新京成電鉄,五香,16,12800000,3LDK,198303,125.81,92.59,50,100,139.97032,35.80509,36.10958904,37.91506849,15.68486859,2,4.5
67,2019/4/1,花野井,つくばエクスプレス,柏の葉キャンパス,6,19800000,4LDK,200901,117.03,99.36,50,100,139.97424,35.89674,10.25205479,10.25205479,5.839129216,2,5.5
68,2019/4/1,逆井2丁目,東武野田線,逆井,8,19800000,3LDK,200602,110.94,95.22,60,150,139.97961,35.82438,13.16986301,13.82835616,8.169023189,2.5,4.5
69,2019/4/1,松葉町2丁目,ＪＲ常磐線,北柏,4,21000000,4LDK,200004,122.91,110.75,50,100,139.97899,35.88592,19.0109589,19.96150685,3.836893359,2,5.5
70,2019/4/1,花野井,つくばエクスプレス,柏の葉キャンパス,33,18000000,4LDK,200502,125.98,98.95,50,100,139.97424,35.89674,14.16986301,14.87835616,32.11521069,2,5.5
71,2019/4/1,東台本町,ＪＲ常磐線,柏,19,8800000,4LDK,198804,103,90.46,50,100,139.98375,35.85864,31.01917808,32.57013699,9.657616099,2,5.5
72,2019/4/1,高柳,東武野田線,高柳,6,9800000,5DK,199705,125.18,138.96,50,100,139.99794,35.8078,21.93150685,23.02808219,6.13134808,2,6
73,2019/4/1,酒井根5丁目,東武野田線,新柏,23,17800000,4LDK,201510,129.7,96.88,50,100,139.96135,35.82458,3.501369863,3.501369863,23.12262059,2,5.5
74,2019/4/1,増尾8丁目,東武野田線,逆井,11,8000000,3LDK,200706,80.1,75.4,50,100,139.98663,35.82912,11.84109589,12.43315068,11.23240688,2,4.5
75,2019/4/1,豊四季,東武野田線,豊四季,2,30800000,3LDK,201306,138.18,95.84,60,200,139.94981,35.85993,5.835616438,5.835616438,2.038340719,3.333333333,4.5
76,2019/4/1,関場町,ＪＲ常磐線,柏,24,23900000,4LDK,200703,121.21,108.47,50,100,139.98373,35.85007,12.09315068,12.69780822,12.19909402,2,5.5
77,2019/4/1,高田,東武野田線,豊四季,19,17800000,4LDK,200910,107.53,96.05,60,200,139.94922,35.8777,9.504109589,9.504109589,19.36423683,3.333333333,5.5
78,2019/4/1,松ケ崎,ＪＲ常磐線,北柏,15,18500000,4LDK,200801,120.66,91.08,60,150,139.97595,35.87908,11.25479452,11.25479452,14.38835009,2.5,5.5
79,2019/4/1,篠籠田,東武野田線,豊四季,16,23000000,4LDK,200603,120.46,102.26,50,100,139.94336,35.86812,13.09315068,13.74780822,16.30672576,2,5.5
80,2019/4/1,松ケ崎,ＪＲ常磐線,北柏,17,19800000,4LDK,200907,100.65,91.29,60,150,139.97595,35.87908,9.756164384,9.756164384,16.30679677,2.5,5.5
81,2019/4/1,青葉台1丁目,新京成電鉄,常盤平,25,18800000,4LDK,200705,110.75,94.4,60,200,139.96272,35.81493,11.9260274,12.52232877,25.22559432,3.333333333,5.5
82,2019/4/1,南逆井6丁目,新京成電鉄,五香,22,16800000,4LDK,200701,129.6,101.43,50,100,139.97791,35.80551,12.25479452,12.86753425,21.5666943,2,5.5
83,2019/4/1,南増尾3丁目,東武野田線,増尾,25,19800000,4LDK,200712,129.58,100.6,50,100,139.97052,35.8146,11.33972603,11.90671233,25.59736799,2,5.5
84,2019/4/1,藤心4丁目,東武野田線,逆井,7,14000000,5LDK,198911,168.12,140.97,50,100,139.98965,35.8245,29.43287671,30.90452055,7.14789529,2,6.5
85,2019/4/1,南逆井7丁目,新京成電鉄,五香,26,18000000,5LDK,199109,151.9,127.23,50,100,139.98103,35.80743,27.6,28.98,25.48791145,2,6.5
86,2019/4/1,西原7丁目,東武野田線,初石,18,20500000,4LDK,199001,153.02,134.14,60,200,139.92741,35.88923,29.26575342,30.7290411,18.17160907,3.333333333,5.5
87,2019/4/1,高柳2丁目,東武野田線,高柳,3,48800000,4LDK,201512,178.31,144.5,60,200,139.99644,35.80986,3.334246575,3.334246575,3.06567404,3.333333333,5.5
88,2019/4/1,常盤台,東武野田線,新柏,18,24990000,4LDK,201806,117.88,106.4,50,100,139.96707,35.84692,0.832876712,0.832876712,18.09596394,2,5.5
89,2019/4/1,柏,ＪＲ常磐線,柏,18,22800000,4LDK,201401,116.53,99.27,50,100,139.98651,35.86444,5.249315068,5.249315068,9.149320515,2,5.5
90,2019/4/1,高田,ＪＲ常磐線,柏,4,22800000,4LDK,201509,121.62,98.43,60,200,139.94922,35.8777,3.583561644,3.583561644,2.033182337,3.333333333,5.5
91,2019/4/1,柏,ＪＲ常磐線,柏,18,25800000,4LDK,201403,148.48,99.77,50,100,139.98651,35.86444,5.087671233,5.087671233,9.149320515,2,5.5
92,2019/4/1,根戸,ＪＲ常磐線,北柏,18,28800000,4LDK,201510,187.7,105.99,60,200,139.98645,35.88113,3.501369863,3.501369863,17.26602011,3.333333333,5.5
93,2019/4/1,松ケ崎,ＪＲ常磐線,北柏,23,24090000,4LDK,201312,151.14,98.99,60,150,139.97595,35.87908,5.334246575,5.334246575,22.06213681,2.5,5.5
94,2019/4/1,松ケ崎,ＪＲ常磐線,北柏,23,19800000,4LDK,201601,157.02,96.88,60,150,139.97595,35.87908,3.249315068,3.249315068,22.06213681,2.5,5.5
95,2019/4/1,柏,ＪＲ常磐線,柏,18,25800000,4LDK,201401,120.5,99.76,50,100,139.98651,35.86444,5.249315068,5.249315068,9.149320515,2,5.5
96,2019/4/1,高田,ＪＲ常磐線,柏,1,23800000,4LDK,201402,132.98,96.45,50,100,139.94922,35.8777,5.164383562,5.164383562,0.508295584,2,5.5
97,2019/4/1,高田,ＪＲ常磐線,柏,1,23800000,4LDK,201402,121.46,98.54,50,100,139.94922,35.8777,5.164383562,5.164383562,0.508295584,2,5.5
98,2019/4/1,高田,ＪＲ常磐線,柏,1,22800000,4LDK,201402,140.68,95.63,50,100,139.94922,35.8777,5.164383562,5.164383562,0.508295584,2,5.5
99,2019/4/1,高田,ＪＲ常磐線,柏,1,22800000,4LDK,201402,120.45,93.57,50,100,139.94922,35.8777,5.164383562,5.164383562,0.508295584,2,5.5
100,2019/4/1,新富町2丁目,ＪＲ常磐線,南柏,18,23800000,4LDK,201403,118.1,96.28,50,100,139.95262,35.85528,5.087671233,5.087671233,16.21247152,2,5.5
101,2019/4/1,高田,ＪＲ常磐線,柏,1,19800000,4LDK,201403,121.37,96.36,50,100,139.94922,35.8777,5.087671233,5.087671233,0.508295584,2,5.5
102,2019/4/1,高田,ＪＲ常磐線,柏,1,21800000,4LDK,201403,132.88,99.26,50,100,139.94922,35.8777,5.087671233,5.087671233,0.508295584,2,5.5
103,2019/4/1,高田,ＪＲ常磐線,柏,1,23300000,4LDK,201403,132.73,96.37,50,100,139.94922,35.8777,5.087671233,5.087671233,0.508295584,2,5.5
104,2019/4/1,高田,ＪＲ常磐線,柏,1,22800000,4LDK,201403,131.7,94.8,50,100,139.94922,35.8777,5.087671233,5.087671233,0.508295584,2,5.5
105,2019/4/1,高田,ＪＲ常磐線,柏,1,22500000,4LDK,201403,120.1,96.88,50,100,139.94922,35.8777,5.087671233,5.087671233,0.508295584,2,5.5
106,2019/4/1,高田,ＪＲ常磐線,柏,1,22800000,4LDK,201403,120.1,95.73,50,100,139.94922,35.8777,5.087671233,5.087671233,0.508295584,2,5.5
107,2019/4/1,高田,ＪＲ常磐線,柏,1,23500000,4LDK,201403,120.12,95.53,50,100,139.94922,35.8777,5.087671233,5.087671233,0.508295584,2,5.5
108,2019/4/1,高田,ＪＲ常磐線,柏,1,22800000,4LDK,201503,141.49,95.05,50,100,139.94922,35.8777,4.087671233,4.087671233,0.508295584,2,5.5
109,2019/4/1,高田,ＪＲ常磐線,柏,1,23800000,4LDK,201403,120.1,95.22,50,100,139.94922,35.8777,5.087671233,5.087671233,0.508295584,2,5.5
110,2019/4/1,手賀の杜2丁目,ＪＲ常磐線,我孫子,3,16800000,4LDK,201511,165.07,101.75,50,100,140.03004,35.84925,3.416438356,3.416438356,2.722090261,2,5.5
111,2019/4/1,北柏2丁目,ＪＲ常磐線,北柏,5,28800000,4LDK,201403,112,96.86,60,150,139.98991,35.87264,5.087671233,5.087671233,4.796116698,2.5,5.5
112,2019/4/1,北柏2丁目,ＪＲ常磐線,北柏,5,25800000,4LDK,201403,111.84,93.65,60,150,139.98991,35.87264,5.087671233,5.087671233,4.796116698,2.5,5.5
113,2019/4/1,北柏2丁目,ＪＲ常磐線,北柏,5,23800000,4LDK,201403,120.4,98.33,60,150,139.98991,35.87264,5.087671233,5.087671233,4.796116698,2.5,5.5
114,2019/4/1,北柏2丁目,ＪＲ常磐線,北柏,3,29800000,4LDK,201406,134.29,98.01,60,200,139.98991,35.87264,4.835616438,4.835616438,2.877670019,3.333333333,5.5
115,2019/4/1,宿連寺,ＪＲ常磐線,北柏,18,22990000,4LDK,201511,123.05,102.6,50,100,139.98523,35.8875,3.416438356,3.416438356,17.26602011,2,5.5
116,2019/4/1,北柏2丁目,ＪＲ常磐線,北柏,3,25800000,4LDK,201406,134.37,97.09,60,200,139.98991,35.87264,4.835616438,4.835616438,2.877670019,3.333333333,5.5
117,2019/4/1,新富町2丁目,ＪＲ常磐線,南柏,18,23800000,4LDK,201408,118.09,95.48,50,100,139.95262,35.85528,4.668493151,4.668493151,16.21247152,2,5.5
118,2019/4/1,新富町2丁目,ＪＲ常磐線,南柏,18,25800000,4LDK,201408,115.92,99.93,50,100,139.95262,35.85528,4.668493151,4.668493151,16.21247152,2,5.5
119,2019/4/1,豊住2丁目,ＪＲ常磐線,南柏,14,23800000,4LDK,201406,138.13,99.35,50,100,139.96065,35.83726,4.835616438,4.835616438,12.60970007,2,5.5
120,2019/4/1,豊住2丁目,ＪＲ常磐線,南柏,14,27800000,4LDK,201406,130.56,99.79,50,100,139.96065,35.83726,4.835616438,4.835616438,12.60970007,2,5.5
121,2019/4/1,花野井,ＪＲ常磐線,北柏,30,25800000,4LDK,201409,120,103.58,50,100,139.97424,35.89674,4.583561644,4.583561644,28.77670019,2,5.5
122,2019/4/1,花野井,ＪＲ常磐線,北柏,30,20800000,4LDK,201409,120,102.06,50,100,139.97424,35.89674,4.583561644,4.583561644,28.77670019,2,5.5
123,2019/4/1,花野井,ＪＲ常磐線,北柏,30,19800000,4LDK,201409,120,99.52,50,100,139.97424,35.89674,4.583561644,4.583561644,28.77670019,2,5.5
124,2019/4/1,大津ケ丘1丁目,ＪＲ常磐線,柏,3,19800000,4LDK,201407,135.29,96.88,60,150,140.00366,35.84325,4.753424658,4.753424658,1.524886753,2.5,5.5
125,2019/4/1,大津ケ丘1丁目,ＪＲ常磐線,柏,3,18800000,4LDK,201407,139.05,92.64,60,150,140.00366,35.84325,4.753424658,4.753424658,1.524886753,2.5,5.5
126,2019/4/1,大津ケ丘1丁目,ＪＲ常磐線,柏,3,23800000,4LDK,201407,134.6,99.57,60,150,140.00366,35.84325,4.753424658,4.753424658,1.524886753,2.5,5.5
127,2019/4/1,大津ケ丘1丁目,ＪＲ常磐線,柏,3,20800000,4LDK,201407,135.73,94.81,60,150,140.00366,35.84325,4.753424658,4.753424658,1.524886753,2.5,5.5
128,2019/4/1,大津ケ丘1丁目,ＪＲ常磐線,柏,3,23800000,4LDK,201407,131.55,97.7,60,150,140.00366,35.84325,4.753424658,4.753424658,1.524886753,2.5,5.5
129,2019/4/1,大津ケ丘1丁目,ＪＲ常磐線,柏,3,23800000,4LDK,201407,132.28,96.67,60,150,140.00366,35.84325,4.753424658,4.753424658,1.524886753,2.5,5.5
130,2019/4/1,戸張,ＪＲ常磐線,柏,6,18990000,4LDK,201407,140.02,98.52,50,100,139.99359,35.856,4.753424658,4.753424658,3.049773505,2,5.5
131,2019/4/1,戸張,ＪＲ常磐線,柏,33,18990000,4LDK,201407,140.02,103.5,50,100,139.99359,35.856,4.753424658,4.753424658,16.77375428,2,5.5
132,2019/4/1,戸張,ＪＲ常磐線,柏,6,17990000,4LDK,201407,137.06,105.89,50,100,139.99359,35.856,4.753424658,4.753424658,3.049773505,2,5.5
133,2019/4/1,戸張,ＪＲ常磐線,柏,33,16990000,4LDK,201407,141.37,105.15,50,100,139.99359,35.856,4.753424658,4.753424658,16.77375428,2,5.5
134,2019/4/1,戸張,ＪＲ常磐線,柏,6,16990000,4LDK,201407,138.5,105.99,50,100,139.99359,35.856,4.753424658,4.753424658,3.049773505,2,5.5
135,2019/4/1,ひばりが丘,ＪＲ常磐線,柏,24,27000000,4LDK,201510,126.43,105.16,60,160,139.96916,35.84882,3.501369863,3.501369863,12.19909402,2.666666667,5.5
136,2019/4/1,戸張,ＪＲ常磐線,柏,6,17990000,4LDK,201407,138.04,98.35,50,100,139.99359,35.856,4.753424658,4.753424658,3.049773505,2,5.5
137,2019/4/1,弥生町,ＪＲ常磐線,柏,19,26800000,4LDK,201409,166.17,96.05,50,100,139.98589,35.85515,4.583561644,4.583561644,9.657616099,2,5.5
138,2019/4/1,十余二,つくばエクスプレス,柏の葉キャンパス,18,21800000,4LDK,201407,101.5,105.15,60,200,139.9593,35.88263,4.753424658,4.753424658,17.51738765,3.333333333,5.5
139,2019/4/1,十余二,つくばエクスプレス,柏の葉キャンパス,18,17800000,4LDK,201407,127.01,105.98,60,200,139.9593,35.88263,4.753424658,4.753424658,17.51738765,3.333333333,5.5
140,2019/4/1,東台本町,ＪＲ常磐線,柏,18,24800000,4LDK,201410,116.44,89.47,60,200,139.98375,35.85864,4.501369863,4.501369863,9.149320515,3.333333333,5.5
141,2019/4/1,東台本町,ＪＲ常磐線,柏,18,30800000,4LDK,201501,110.44,94.6,60,200,139.98375,35.85864,4.249315068,4.249315068,9.149320515,3.333333333,5.5
142,2019/4/1,東台本町,ＪＲ常磐線,柏,18,29800000,4LDK,201501,110.07,96.45,60,200,139.98375,35.85864,4.249315068,4.249315068,9.149320515,3.333333333,5.5
143,2019/4/1,東台本町,ＪＲ常磐線,柏,18,29800000,4LDK,201501,110.8,96.47,60,200,139.98375,35.85864,4.249315068,4.249315068,9.149320515,3.333333333,5.5
144,2019/4/1,東台本町,ＪＲ常磐線,柏,18,31800000,5LDK,201501,110.1,96.47,60,200,139.98375,35.85864,4.249315068,4.249315068,9.149320515,3.333333333,6.5
145,2019/4/1,篠籠田,ＪＲ常磐線,柏,28,22800000,4LDK,201412,137.44,97.7,50,100,139.94336,35.86812,4.334246575,4.334246575,14.23227636,2,5.5
146,2019/4/1,篠籠田,ＪＲ常磐線,柏,28,25800000,4LDK,201412,120.05,97.95,50,100,139.94336,35.86812,4.334246575,4.334246575,14.23227636,2,5.5
147,2019/4/1,篠籠田,ＪＲ常磐線,柏,28,23800000,4LDK,201412,143.44,97.33,50,100,139.94336,35.86812,4.334246575,4.334246575,14.23227636,2,5.5
148,2019/4/1,篠籠田,ＪＲ常磐線,柏,28,22800000,4LDK,201412,119.06,97.7,50,100,139.94336,35.86812,4.334246575,4.334246575,14.23227636,2,5.5
149,2019/4/1,西原4丁目,東武野田線,初石,16,23800000,4LDK,201502,120.05,102.78,60,150,139.92291,35.89322,4.164383562,4.164383562,16.1525414,2.5,5.5
150,2019/4/1,西原4丁目,東武野田線,初石,16,19800000,4LDK,201502,105.05,102.68,60,150,139.92291,35.89322,4.164383562,4.164383562,16.1525414,2.5,5.5
151,2019/4/1,西原4丁目,東武野田線,初石,16,22800000,4LDK,201502,126.8,102.78,60,150,139.92291,35.89322,4.164383562,4.164383562,16.1525414,2.5,5.5
152,2019/4/1,西原4丁目,東武野田線,初石,16,21800000,4LDK,201502,120.05,102.06,60,150,139.92291,35.89322,4.164383562,4.164383562,16.1525414,2.5,5.5
